Date,Date_Year,Rank,Symbol,Market Cap,Price,Circulating Supply,Volume,%1h,price_hr_1,%24h,price_hr_24,%7d
2014-01-19,2014,15,NVC,8511813.0,15.02,566545.0,115116.0,1.9,15.30538,1.33,15.219766,-2.83
2014-01-19,2014,16,IFC,6039925.0,0.0,89792987136.0,27908.0,3.43,0.0,20.83,0.0,-5.05
2014-01-19,2014,17,DGC,3938649.0,0.32,12463324.0,28469.0,3.08,0.329856,-2.02,0.313536,-11.01
2014-01-19,2014,18,ZET,3855448.0,0.02,159749712.0,11502.0,3.63,0.020726,28.87,0.025774000000000002,-5.69
2014-01-19,2014,19,DVC,3467776.0,0.0,6125470208.0,24616.0,6.81,0.0,43.53,0.0,14.91
2014-01-19,2014,20,TIX,2715418.0,0.0,66876280832.0,1476.0,0.8,0.0,6.36,0.0,-1.22
2014-01-26,2014,1,BTC,10902798993.0,885.28,12315650.0,32224254.0,0.41,888.909648,3.84,919.2747519999999,2.79
2014-01-26,2014,2,LTC,607235558.0,24.12,25171554.0,12199163.0,0.37,24.209244,4.26,25.147512000000003,-3.89
2014-01-26,2014,3,XRP,157362291.0,0.02,7817889792.0,77411.0,0.41,0.020082,5.32,0.021064,-2.27
2014-01-26,2014,4,PPC,127305292.0,6.04,21085380.0,2171105.0,-0.03,6.038188,3.58,6.256232,2.33
2014-01-26,2014,5,NXT,78028427.0,0.08,999998016.0,236019.0,1.23,0.080984,7.98,0.086384,47.8
2014-01-26,2014,6,OMNI,65947028.0,106.46,619478.0,31051.0,0.45,106.93906999999999,-16.36,89.043144,-28.08
2014-01-26,2014,7,DOGE,58716784.0,0.0,36847591424.0,4570822.0,0.95,0.0,-13.81,0.0,119.11
2014-01-26,2014,8,NMC,48429671.0,6.15,7871293.0,1700838.0,0.47,6.178905,4.2,6.4083000000000006,-3.05
2014-01-26,2014,9,QRK,22120786.0,0.09,247399344.0,97584.0,0.25,0.090225,2.01,0.091809,-18.26
2014-01-26,2014,10,PTS,17372118.0,12.57,1381923.0,12387.0,1.94,12.813858,2.51,12.885507,0.04
2014-01-26,2014,11,XPM,14433326.0,3.45,4180432.0,346929.0,3.28,3.5631600000000003,10.43,3.809835,4.71
2014-01-26,2014,12,WDC,14103449.0,0.34,41920532.0,111391.0,0.58,0.341972,-3.9,0.32674000000000003,-4.77
